SpeciesID,Phylum,Species_Group,Recode_for_MS,MS_Species_Group,Alias,Mobility,COMMON NAME (for reference) 
Crisia_sp,Bryozoa,Bryozoan: branched,branched_bryozoan,Branched bryozoan,Bryozoan: branched,Nonmotile,branched bryozoan
colonial tunicate,Tunicata,Tunicate,colonial_tunicate,Colonial tunicate,Colonial tunicate,Nonmotile,
Demospongiae,Porifera,Demosponge,demospongiae,Demosponge,Demosponge,Nonmotile,sponge
egg_mass,Unknown,Unidentified,unidentified_egg_mass,Unidentified egg mass,Unidentified egg mass,Nonmotile,
encrusting_bryozoan_sp,Bryozoa,Bryozoan: encrusting,encrusting_bryozoan,Encrusting bryozoan,Bryozoan: encrusting,Nonmotile,encrusting bryozoan
Ericthonius_rubricornis,Arthropoda,Amphipod: tube,amphipod_tube,Amphipod tube,Amphipod: tube,Nonmotile,"arthropod, looks like a bunch of tube worms jumbled together"
Eulalia_quadrioculata,Annelida,Polychaete: errant,errant_polychaete,Errant polychaete,Polychaete: errant,Motile,annelid worms
Glebocarcinus_oregonensis,Arthropoda,Cancridae crab,glebocarcinus_oregonensis,Glebocarcinus oregonensis,Pygmy Rock Crab,Motile,pygmy rock crab
Harmothoe_sp,Annelida,Polychaete: errant,errant_polychaete,Errant polychaete,Polychaete: errant,Motile,annelid worms
Hiatella_arctica,Mollusca,Clam,hiatella_arctica,Hiatella arctica ,Wrinkled rock-borer clam,Nonmotile,wrinkled rock-borer clam
Hinnites_giganteous,Mollusca,Scallop,hinnites_giganteous,Hinnites giganteous,Giant Scallop,Nonmotile,giant scallop (white shells with ridges)
Lichenopora,Bryozoa,Bryozoan: coral-like,calcified_bryozoan,Calcified bryozoan,Bryozoan: coral-like,Nonmotile,coral bryozoan (encrusting frilly looking bryozoan)
limpet,Mollusca,Limpet,limpet,Limpet,Limpet,Nonmotile,
Metridium,Cnidaria,Anemone,metridium_sp,Metridium sp. ,Anemone,Nonmotile,stalked anenome - usually white or orange
Mopalia_kennerleyi,Mollusca,Chiton,mopalia_sp,Mopalia sp.,Northern hairy chiton,Motile,
Mussel,Mollusca,Mussel,mussel_sp,Mussel sp. ,Mussel,Nonmotile,
Amphissa,Mollusca,Gastropod: snail,amphissa_sp,Amphissa  sp. ,Wrinkled amphissa,Motile,wrinkled amphissa
neptunea_lyrata,Mollusca,Gastropod: snail,neptunea_lyrata,Neptunea lyrata,Lyre whelk,Motile,lyre whelk
Phyllodoce_sp,Annelida,Polychaete: errant,errant_polychaete,Errant polychaete,Scale worm,Motile,polychaete species (scale worm/annelid worm)
Pododesmus_macrochisma,Mollusca,Jingle shell,pododesmus_macrochisma,Pododesmus macrochisma,Alaska jingle,Nonmotile,Alaska jingle (bivalve)
polychaete_sp,Annelida,Polychaete: errant,errant_polychaete,Errant polychaete,Polychaete: errant,Motile,"annelid (see also Eulalia, Harmothoe, and sabellida)"
Polynoid_sp,Annelida,Polychaete: errant,errant_polychaete,Errant polychaete,Scale worm,Motile,
sabellariid_tubeworm,Annelida,Polychaete: tube,polychaete_noncalcareous_tube,Non-calcareous polychaete tube,Sand and glue tubeworm,Nonmotile,"""sand and glue"" tubeworms; sabellida"
shrimp_sp,Arthropoda,Amphipod/shrimp,shrimp_sp,Shrimp sp.,Shrimp,Motile,
Seaweed_sp,Unknown,Seaweed sp.,NA,OMIT THIS LINE,Seaweed sp.,Nonmotile,
Schizoporella_sp,Bryozoa,Bryozoan: encrusting,encrusting_bryozoan,Encrusting bryozoan,Bryozoan: encrusting,Nonmotile,
spirobis_sp,Annelida,Polychaete: spirorbis,spirorbid_polychaete,Spirorbid polychaete,Spiral fan worm,Nonmotile,spiral fan worms (annelids)
Strongylocentrotus_sp,Echinodermata,Sea urchin,ptrongylocentrotus_sp,Strongylocentrotus sp. ,Sea urchin,Motile,sea urchin spp 
Trichotropis,Mollusca,Gastropod: snail,trichotropis_cancellata,Trichotropis  cancellata,Hairy snail,Motile,Hairy snail
Styaela_gibbsii,Chordata,Tunicate,styaela_gibbsii,Styaela gibbsii,Stalked tunicate,Nonmotile,stalked tunicate
Ulva,Chlorophyta,Ulva sp.,NA,OMIT THIS LINE,Sea lettuce,Nonmotile,sea lettuce
Urticina,Cnidaria,Anemone,urticina_sp,Urticina spp. ,Colorful anemone,Nonmotile,colorful anemone
unidentified_pending,Unknown,Unidentified,NA,OMIT THIS LINE,Unidentified,Nonmotile,** this means it's either pending identification because you've put it in the Discord and/or we're sending it over to Megan or Greg or another expert
unidentified,Unknown,Unidentified,unidentified_other,Unidentified other,Unidentified,Nonmotile,this means it's too small/difficult for even the experts to identify
